1,Event1,resident1,2024-06-22 10:00,2024-06-22 12:00,1,0
2,Event2,resident2,2024-06-23 11:00,2024-06-23 13:00,1,1
3,Event3,resident3,2024-06-24 12:00,2024-06-24 14:00,1,2
4,Event4,resident4,2024-06-25 13:00,2024-06-25 15:00,1,3
5,Event5,resident5,2024-06-26 14:00,2024-06-26 16:00,1,0
6,Event6,cityuser,2024-06-27 15:00,2024-06-27 17:00,1,1
7,Event7,nonresident1,2024-06-22 16:00,2024-06-22 18:00,1,2
8,Event8,nonresident2,2024-06-23 17:00,2024-06-23 19:00,1,3
9,Event9,nonresident3,2024-06-24 18:00,2024-06-24 20:00,1,0
10,Event10,nonresident4,2024-06-25 19:00,2024-06-25 21:00,1,1
11,Event11,nonresident5,2024-06-26 20:00,2024-06-26 22:00,1,2
